Category,"Hist. Ref. Per., 1950-2014",Historical 10-90th Percentile Range (low),Historical 10-90th Percentile Range (high),SSP1-1.9,SSP1-1.9 10-90th Percentile Range (low),SSP1-1.9 10-90th Percentile Range (high),SSP1-2.6,SSP1-2.6 10-90th Percentile Range (low),SSP1-2.6 10-90th Percentile Range (high),SSP2-4.5,SSP2-4.5 10-90th Percentile Range (low),SSP2-4.5 10-90th Percentile Range (high),SSP3-7.0,SSP3-7.0 10-90th Percentile Range (low),SSP3-7.0 10-90th Percentile Range (high),SSP5-8.5,SSP5-8.5 10-90th Percentile Range (low),SSP5-8.5 10-90th Percentile Range (high)
1950,27.64,27.28,27.84,,,,,,,,,,,,,,,
1951,27.59,27.31,28.01,,,,,,,,,,,,,,,
1952,27.63,27.28,28.03,,,,,,,,,,,,,,,
1953,27.67,27.32,27.87,,,,,,,,,,,,,,,
1954,27.6,27.22,27.97,,,,,,,,,,,,,,,
1955,27.67,27.12,27.95,,,,,,,,,,,,,,,
1956,27.57,27.2,27.93,,,,,,,,,,,,,,,
1957,27.58,27.33,28.05,,,,,,,,,,,,,,,
1958,27.75,27.3,28,,,,,,,,,,,,,,,
1959,27.56,27.25,27.97,,,,,,,,,,,,,,,
1960,27.67,27.37,27.99,,,,,,,,,,,,,,,
1961,27.65,27.35,27.91,,,,,,,,,,,,,,,
1962,27.64,27.14,27.84,,,,,,,,,,,,,,,
1963,27.46,27.17,27.82,,,,,,,,,,,,,,,
1964,27.43,27.1,27.81,,,,,,,,,,,,,,,
1965,27.45,27.17,27.96,,,,,,,,,,,,,,,
1966,27.51,27.16,27.83,,,,,,,,,,,,,,,
1967,27.44,27.14,27.78,,,,,,,,,,,,,,,
1968,27.45,27.15,27.79,,,,,,,,,,,,,,,
1969,27.56,27.28,27.95,,,,,,,,,,,,,,,
1970,27.52,27.3,27.73,,,,,,,,,,,,,,,
1971,27.6,27.27,27.8,,,,,,,,,,,,,,,
1972,27.55,27.13,27.81,,,,,,,,,,,,,,,
1973,27.67,27.15,28.21,,,,,,,,,,,,,,,
1974,27.59,27.15,27.88,,,,,,,,,,,,,,,
1975,27.58,27.16,27.95,,,,,,,,,,,,,,,
1976,27.62,27.39,27.79,,,,,,,,,,,,,,,
1977,27.73,27.43,27.87,,,,,,,,,,,,,,,
1978,27.62,27.35,27.8,,,,,,,,,,,,,,,
1979,27.74,27.44,27.96,,,,,,,,,,,,,,,
1980,27.6,27.34,28.01,,,,,,,,,,,,,,,
1981,27.68,27.45,27.87,,,,,,,,,,,,,,,
1982,27.69,27.43,27.92,,,,,,,,,,,,,,,
1983,27.5,27.19,27.92,,,,,,,,,,,,,,,
1984,27.69,27.32,27.97,,,,,,,,,,,,,,,
1985,27.65,27.37,27.99,,,,,,,,,,,,,,,
1986,27.76,27.49,28.05,,,,,,,,,,,,,,,
1987,27.75,27.35,28.04,,,,,,,,,,,,,,,
1988,27.74,27.42,28.15,,,,,,,,,,,,,,,
1989,27.8,27.46,27.92,,,,,,,,,,,,,,,
1990,27.92,27.67,28.17,,,,,,,,,,,,,,,
1991,27.77,27.55,28.22,,,,,,,,,,,,,,,
1992,27.39,27.17,27.69,,,,,,,,,,,,,,,
1993,27.67,27.29,27.87,,,,,,,,,,,,,,,
1994,27.78,27.49,28.07,,,,,,,,,,,,,,,
1995,27.8,27.45,28.03,,,,,,,,,,,,,,,
1996,27.75,27.5,28.03,,,,,,,,,,,,,,,
1997,27.87,27.52,28.18,,,,,,,,,,,,,,,
1998,27.95,27.59,28.21,,,,,,,,,,,,,,,
1999,27.87,27.53,28.32,,,,,,,,,,,,,,,
2000,27.97,27.58,28.28,,,,,,,,,,,,,,,
2001,28.12,27.74,28.42,,,,,,,,,,,,,,,
2002,28.03,27.56,28.43,,,,,,,,,,,,,,,
2003,28.02,27.6,28.27,,,,,,,,,,,,,,,
2004,28.15,27.93,28.3,,,,,,,,,,,,,,,
2005,28.11,27.62,28.32,,,,,,,,,,,,,,,
2006,28.01,27.61,28.43,,,,,,,,,,,,,,,
2007,28.08,27.67,28.38,,,,,,,,,,,,,,,
2008,28.06,27.74,28.34,,,,,,,,,,,,,,,
2009,28.17,27.88,28.38,,,,,,,,,,,,,,,
2010,28.21,27.89,28.51,,,,,,,,,,,,,,,
2011,28.19,27.88,28.45,,,,,,,,,,,,,,,
2012,28.26,27.78,28.59,,,,,,,,,,,,,,,
2013,28.24,28,28.5,,,,,,,,,,,,,,,
2014,28.23,27.75,28.52,28.23,27.75,28.52,28.23,27.75,28.52,28.23,27.75,28.52,28.23,27.75,28.52,28.23,27.75,28.52
2015,,,,28.26,27.79,28.66,28.19,27.79,28.65,28.33,27.78,28.78,28.31,27.84,28.58,28.25,27.74,28.68
2016,,,,28.28,27.8,28.66,28.2,27.78,28.6,28.31,27.73,28.61,28.27,27.78,28.72,28.38,27.89,28.79
2017,,,,28.26,27.84,28.69,28.32,27.66,28.71,28.3,27.95,28.68,28.21,27.94,28.7,28.24,27.76,28.75
2018,,,,28.32,28,28.81,28.31,28.05,28.78,28.3,27.89,28.83,28.34,28.07,28.93,28.39,28.04,28.79
2019,,,,28.38,27.93,28.85,28.44,28.01,28.87,28.32,27.86,28.72,28.46,27.79,28.99,28.37,28.1,28.96
2020,,,,28.41,27.97,28.74,28.53,28.2,28.77,28.33,27.96,28.82,28.41,27.82,28.7,28.45,27.95,28.8
2021,,,,28.45,27.93,28.81,28.56,28.06,28.84,28.49,27.99,28.88,28.37,27.79,28.72,28.49,27.94,28.97
2022,,,,28.44,27.99,28.85,28.49,27.78,28.9,28.54,28.2,28.87,28.41,27.98,28.8,28.44,28.01,29.03
2023,,,,28.49,28.06,28.92,28.52,27.96,28.88,28.52,28.12,28.98,28.54,28.1,29.13,28.5,28.11,28.88
2024,,,,28.5,28.13,28.92,28.66,28.2,29.13,28.56,28.22,28.94,28.43,27.96,28.9,28.53,28.25,28.97
2025,,,,28.51,28.04,28.95,28.67,28.05,29.09,28.55,28.2,29.06,28.36,27.94,28.99,28.68,28.04,28.97
2026,,,,28.53,28.09,28.92,28.57,28.12,28.94,28.59,28.12,29.09,28.49,28.08,29.01,28.71,28.13,28.95
2027,,,,28.55,28.16,28.99,28.55,28.14,29.04,28.56,28.17,29.08,28.62,28.09,29.15,28.72,28.38,29.07
2028,,,,28.59,28.19,29.04,28.67,28.23,29.16,28.59,28.26,29.05,28.66,28.16,29.22,28.74,28.26,29.15
2029,,,,28.63,28.2,29.06,28.74,28.23,29.04,28.84,28.33,29.15,28.56,28.21,29.37,28.72,28.23,29.14
2030,,,,28.61,28.11,29,28.71,28.24,29.09,28.68,28.19,29.07,28.62,27.94,29.19,28.78,28.25,29.11
2031,,,,28.62,28.1,29.04,28.67,28.16,29.12,28.69,28.08,29.18,28.59,27.92,29.09,28.93,28.45,29.3
2032,,,,28.66,28.23,29.1,28.7,28.16,29.12,28.81,28.21,29.32,28.66,28.35,29.23,28.9,28.46,29.36
2033,,,,28.64,28.24,29.11,28.66,28.13,29.16,28.79,28.38,29.16,28.75,28.36,29.45,28.84,28.37,29.34
2034,,,,28.67,28.14,29.17,28.75,28.25,29.38,28.76,28.37,29.34,28.81,28.09,29.4,28.85,28.09,29.29
2035,,,,28.66,28.16,29.16,28.74,28.27,29.4,28.82,28.19,29.42,28.69,28.17,29.33,28.93,28.27,29.32
2036,,,,28.69,28.18,29.14,28.7,28.17,29.43,28.84,28.2,29.26,28.81,28.33,29.29,29.03,28.35,29.44
2037,,,,28.7,28.29,29.2,28.8,28.4,29.45,28.88,28.44,29.2,28.89,28.38,29.53,28.88,28.36,29.62
2038,,,,28.75,28.39,29.16,28.83,28.37,29.22,28.95,28.57,29.48,28.9,28.54,29.37,29.11,28.64,29.61
2039,,,,28.75,28.31,29.23,28.89,28.41,29.38,28.89,28.32,29.47,28.89,28.46,29.51,29.21,28.56,29.76
2040,,,,28.75,28.24,29.23,28.77,28.25,29.39,28.88,28.37,29.45,28.97,28.21,29.55,29.27,28.64,29.78
2041,,,,28.75,28.19,29.22,28.77,28.27,29.27,28.98,28.48,29.45,28.97,28.07,29.62,29.22,28.38,29.92
